date,optics,simple
2022-06-08T17:15:00+02:00,5,
2022-06-08T17:16:00+02:00,44,
2022-06-08T17:17:00+02:00,56,
2022-06-08T17:18:00+02:00,61,
2022-06-08T17:19:00+02:00,78,
2022-06-08T17:20:00+02:00,94,
2022-06-08T17:21:00+02:00,104,
2022-06-08T17:22:00+02:00,126,
2022-06-08T17:23:00+02:00,122,
2022-06-08T17:24:00+02:00,128,
2022-06-08T17:25:00+02:00,134,
2022-06-08T17:26:00+02:00,143,
2022-06-08T17:27:00+02:00,137,
2022-06-08T17:28:00+02:00,141,
2022-06-08T17:29:00+02:00,158,
2022-06-08T17:30:00+02:00,177,
2022-06-08T17:31:00+02:00,174,
2022-06-08T17:32:00+02:00,194,
2022-06-08T17:33:00+02:00,184,
2022-06-08T17:34:00+02:00,179,
2022-06-08T17:35:00+02:00,194,
2022-06-08T17:36:00+02:00,190,
2022-06-08T17:37:00+02:00,195,
2022-06-08T17:38:00+02:00,188,
2022-06-08T17:39:00+02:00,191,
2022-06-08T17:40:00+02:00,209,
2022-06-08T17:41:00+02:00,220,
2022-06-08T17:42:00+02:00,209,
2022-06-08T17:43:00+02:00,205,
2022-06-08T17:44:00+02:00,203,
2022-06-08T17:45:00+02:00,230,
2022-06-08T17:46:00+02:00,237,
2022-06-08T17:47:00+02:00,249,
2022-06-08T17:48:00+02:00,225,
2022-06-08T17:49:00+02:00,231,
2022-06-08T17:50:00+02:00,244,
2022-06-08T17:51:00+02:00,249,
2022-06-08T17:52:00+02:00,259,
2022-06-08T17:53:00+02:00,219,
2022-06-08T17:54:00+02:00,224,
2022-06-08T17:55:00+02:00,233,
2022-06-08T17:56:00+02:00,237,
2022-06-08T17:57:00+02:00,219,
2022-06-08T17:58:00+02:00,197,
2022-06-08T17:59:00+02:00,209,
2022-06-08T18:00:00+02:00,209,
2022-06-08T18:01:00+02:00,210,
2022-06-08T18:02:00+02:00,199,
2022-06-08T18:03:00+02:00,200,
2022-06-08T18:04:00+02:00,199,
2022-06-08T18:05:00+02:00,226,
2022-06-08T18:06:00+02:00,206,
2022-06-08T18:07:00+02:00,222,
2022-06-08T18:08:00+02:00,218,
2022-06-08T18:09:00+02:00,215,
2022-06-08T18:10:00+02:00,212,
2022-06-08T18:11:00+02:00,235,
2022-06-08T18:12:00+02:00,231,
2022-06-08T18:13:00+02:00,243,
2022-06-08T18:14:00+02:00,258,
2022-06-08T18:15:00+02:00,229,
2022-06-08T18:16:00+02:00,214,
2022-06-08T18:17:00+02:00,227,
2022-06-08T18:18:00+02:00,223,
2022-06-08T18:19:00+02:00,238,
2022-06-08T18:20:00+02:00,219,
2022-06-08T18:21:00+02:00,223,
2022-06-08T18:22:00+02:00,198,
2022-06-08T18:23:00+02:00,204,
2022-06-08T18:24:00+02:00,199,
2022-06-08T18:25:00+02:00,203,
2022-06-08T18:26:00+02:00,204,
2022-06-08T18:27:00+02:00,214,
2022-06-08T18:28:00+02:00,209,
2022-06-08T18:29:00+02:00,199,
2022-06-08T18:30:00+02:00,195,
2022-06-08T18:31:00+02:00,190,
2022-06-08T18:32:00+02:00,191,
2022-06-08T18:33:00+02:00,194,
2022-06-08T18:34:00+02:00,197,
2022-06-08T18:35:00+02:00,194,
2022-06-08T18:36:00+02:00,192,
2022-06-08T18:37:00+02:00,188,
2022-06-08T18:38:00+02:00,183,
2022-06-08T18:39:00+02:00,188,
2022-06-08T18:40:00+02:00,192,
2022-06-08T18:41:00+02:00,182,
2022-06-08T18:42:00+02:00,190,
2022-06-08T18:43:00+02:00,189,
2022-06-08T18:44:00+02:00,191,
2022-06-08T18:45:00+02:00,187,
2022-06-08T18:46:00+02:00,194,
2022-06-08T18:47:00+02:00,195,
2022-06-08T18:48:00+02:00,197,
2022-06-08T18:49:00+02:00,202,
2022-06-08T18:50:00+02:00,203,
2022-06-08T18:51:00+02:00,190,
2022-06-08T18:52:00+02:00,209,
2022-06-08T18:53:00+02:00,203,
2022-06-08T18:54:00+02:00,209,
2022-06-08T18:55:00+02:00,180,
2022-06-08T18:56:00+02:00,200,
2022-06-08T18:57:00+02:00,195,
2022-06-08T18:58:00+02:00,186,
2022-06-08T18:59:00+02:00,202,
2022-06-08T19:00:00+02:00,214,
2022-06-08T19:01:00+02:00,221,
2022-06-08T19:02:00+02:00,216,
2022-06-08T19:03:00+02:00,198,
2022-06-08T19:04:00+02:00,196,
2022-06-08T19:05:00+02:00,188,
2022-06-08T19:06:00+02:00,188,
2022-06-08T19:07:00+02:00,191,
2022-06-08T19:08:00+02:00,187,
2022-06-08T19:09:00+02:00,197,
2022-06-08T19:10:00+02:00,193,
2022-06-08T19:11:00+02:00,196,
2022-06-08T19:12:00+02:00,191,
2022-06-08T19:13:00+02:00,191,
2022-06-08T19:14:00+02:00,189,
2022-06-08T19:15:00+02:00,190,
2022-06-08T19:16:00+02:00,196,
2022-06-08T19:17:00+02:00,200,
2022-06-08T19:18:00+02:00,191,
2022-06-08T19:19:00+02:00,202,
2022-06-08T19:20:00+02:00,214,
2022-06-08T19:21:00+02:00,205,
2022-06-08T19:22:00+02:00,200,
2022-06-08T19:23:00+02:00,209,
2022-06-08T19:24:00+02:00,214,
2022-06-08T19:25:00+02:00,221,
2022-06-08T19:26:00+02:00,190,
2022-06-08T19:27:00+02:00,184,
2022-06-08T19:28:00+02:00,217,
2022-06-08T19:29:00+02:00,210,
2022-06-08T19:30:00+02:00,219,
2022-06-08T19:31:00+02:00,235,
2022-06-08T19:32:00+02:00,230,
2022-06-08T19:33:00+02:00,212,
2022-06-08T19:34:00+02:00,209,
2022-06-08T19:35:00+02:00,220,
2022-06-08T19:36:00+02:00,227,
2022-06-08T19:37:00+02:00,212,
2022-06-08T19:38:00+02:00,226,
2022-06-08T19:39:00+02:00,232,
2022-06-08T19:40:00+02:00,220,
2022-06-08T19:41:00+02:00,218,
2022-06-08T19:42:00+02:00,235,
2022-06-08T19:43:00+02:00,232,
2022-06-08T19:44:00+02:00,235,
2022-06-08T19:45:00+02:00,231,
2022-06-08T19:46:00+02:00,230,
2022-06-08T19:47:00+02:00,245,
2022-06-08T19:48:00+02:00,232,
2022-06-08T19:49:00+02:00,225,
2022-06-08T19:50:00+02:00,216,
2022-06-08T19:51:00+02:00,217,
2022-06-08T19:52:00+02:00,242,
2022-06-08T19:53:00+02:00,215,
2022-06-08T19:54:00+02:00,251,
2022-06-08T19:55:00+02:00,243,
2022-06-08T19:56:00+02:00,235,
2022-06-08T19:57:00+02:00,263,
2022-06-08T19:58:00+02:00,241,
2022-06-08T19:59:00+02:00,220,
2022-06-08T20:00:00+02:00,212,
2022-06-08T20:01:00+02:00,222,
2022-06-08T20:02:00+02:00,211,
2022-06-08T20:03:00+02:00,207,
2022-06-08T20:04:00+02:00,220,
2022-06-08T20:05:00+02:00,214,
2022-06-08T20:06:00+02:00,214,
2022-06-08T20:07:00+02:00,214,
2022-06-08T20:08:00+02:00,214,
2022-06-08T20:09:00+02:00,218,
2022-06-08T20:10:00+02:00,207,
2022-06-08T20:11:00+02:00,208,
2022-06-08T20:12:00+02:00,202,
2022-06-08T20:13:00+02:00,215,
2022-06-08T20:14:00+02:00,207,
2022-06-08T20:15:00+02:00,198,
2022-06-08T20:16:00+02:00,203,
2022-06-08T20:17:00+02:00,188,
2022-06-08T20:18:00+02:00,170,
2022-06-08T20:19:00+02:00,166,
2022-06-08T20:20:00+02:00,184,
2022-06-08T20:21:00+02:00,184,
2022-06-08T20:22:00+02:00,178,
2022-06-08T20:23:00+02:00,164,
2022-06-08T20:24:00+02:00,150,
2022-06-08T20:25:00+02:00,174,
2022-06-08T20:26:00+02:00,174,
2022-06-08T20:27:00+02:00,155,
2022-06-08T20:28:00+02:00,163,
2022-06-08T20:29:00+02:00,169,
2022-06-08T20:30:00+02:00,172,
2022-06-08T20:31:00+02:00,183,
2022-06-08T20:32:00+02:00,188,
2022-06-08T20:33:00+02:00,199,
2022-06-08T20:34:00+02:00,172,
2022-06-08T20:35:00+02:00,196,
2022-06-08T20:36:00+02:00,179,
2022-06-08T20:37:00+02:00,193,
2022-06-08T20:38:00+02:00,199,
2022-06-08T20:39:00+02:00,179,
2022-06-08T20:40:00+02:00,204,
2022-06-08T20:41:00+02:00,185,
2022-06-08T20:42:00+02:00,203,
2022-06-08T20:43:00+02:00,207,
2022-06-08T20:44:00+02:00,209,
2022-06-08T20:45:00+02:00,225,
2022-06-08T20:46:00+02:00,218,
2022-06-08T20:47:00+02:00,227,
2022-06-08T20:48:00+02:00,235,
2022-06-08T20:49:00+02:00,253,
2022-06-08T20:50:00+02:00,264,
2022-06-08T20:51:00+02:00,302,
2022-06-08T20:52:00+02:00,258,
2022-06-08T20:53:00+02:00,269,
2022-06-08T20:54:00+02:00,248,
2022-06-08T20:55:00+02:00,285,
2022-06-08T20:56:00+02:00,317,
2022-06-08T20:57:00+02:00,295,
2022-06-08T20:58:00+02:00,282,
2022-06-08T20:59:00+02:00,257,
